ID_LOCALIDADE;CODIGO_IBGE;MUNICIPIO;UF;ID_UF
1;1100009;*;RO;21
2;1100015;ALTA FLORESTA D'OESTE;RO;21
3;1100023;ARIQUEMES;RO;21
4;1100025;ARIQUEMES;RO;21
5;1100031;CABIXI;RO;21
6;1100041;CACOAL;RO;21
7;1100049;CACOAL;RO;21
8;1100050;ROLIM DE MOURA;RO;21
9;1100056;CEREJEIRAS;RO;21
10;1100064;COLORADO DO OESTE;RO;21
11;1100068;CEREJEIRAS;RO;21
12;1100072;CORUMBIARA;RO;21
13;1100076;COLORADO DO OESTE;RO;21
14;1100092;ESPIGAO D'OESTE;RO;21
15;1100098;ESPIGAO D'OESTE;RO;21
16;1100106;GUAJARA-MIRIM;RO;21
17;1100114;JARU;RO;21
18;1100122;JI-PARANA;RO;21
19;1100130;MACHADINHO D'OESTE;RO;21
20;1100148;NOVA BRASILANDIA D'OES;RO;21
21;1100149;NOVA BRASILANDIA D'OESTE;RO;21
22;1100155;OURO PRETO DO OESTE;RO;21
23;1100157;OURO PRETO DO OESTE;RO;21
24;1100181;PIMENTA BUENO;RO;21
25;1100189;PIMENTA BUENO;RO;21
26;1100203;PORTO VELHO;RO;21
27;1100205;PORTO VELHO;RO;21
28;1100254;PRESIDENTE MEDICI;RO;21
29;1100288;ROLIM DE MOURA;RO;21
30;1100296;SANTA LUZIA D'OESTE;RO;21
31;1100300;VILHENA;RO;21
32;1100304;VILHENA;RO;21
33;1100320;SAO MIGUEL DO GUAPORE;RO;21
34;1100338;NOVA MAMORE;RO;21
35;1100343;ALVORADA D'OESTE;RO;21
36;1100346;ALVORADA D'OESTE;RO;21
37;1100379;ALTO ALEGRE DO PARECIS;RO;21
38;1100386;ALTO PARAISO;RO;21
39;1100403;ALTO PARAISO;RO;21
40;1100408;PRESIDENTE MEDICI;RO;21
41;1100452;BURITIS;RO;21
42;1100502;NOVO HORIZONTE DO OESTE;RO;21
43;1100601;CACAULANDIA;RO;21
44;1100807;CANDEIAS DO JAMARI;RO;21
45;1100809;CANDEIAS DO JAMARI;RO;21
46;1100904;CASTANHEIRAS;RO;21
47;1100908;CASTANHEIRAS;RO;21
48;1100924;CHUPINGUAIA;RO;21
49;1100940;CUJUBIM;RO;21
50;1101005;GOVERNADOR JORGE TEIXEIRA;RO;21
51;1101104;ITAPUA DO OESTE;RO;21
52;1101203;MINISTRO ANDREAZZA;RO;21
53;1101302;MIRANTE DA SERRA;RO;21
54;1101307;MIRANTE DA SERRA;RO;21
55;1101401;MONTE NEGRO;RO;21
56;1101404;MONTE NEGRO;RO;21
57;1101450;PARECIS;RO;21
58;1101468;PIMENTEIRAS DO OESTE;RO;21
59;1101492;SAO FRANCISCO DO GUAPO;RO;21
60;1101500;SERINGUEIRAS;RO;21
61;1101559;TEIXEIROPOLIS;RO;21
62;1101708;URUPA;RO;21
63;1101757;VALE DO ANARI;RO;21
64;1101807;VALE DO PARAISO;RO;21
65;1200013;ACRELANDIA;AC;1
66;1200054;ASSIS BRASIL;AC;1
67;1200104;BRASILEIA;AC;1
68;1200138;BUJARI;AC;1
69;1200203;CRUZEIRO DO SUL;AC;1
70;1200208;CRUZEIRO DO SUL;AC;1
71;1200252;EPITACIOLANDIA;AC;1
72;1200302;FEIJO;AC;1
73;1200336;MANCIO LIMA;AC;1
74;1200344;MANOEL URBANO;AC;1
75;1200385;PLACIDO DE CASTRO;AC;1
76;1200393;PORTO WALTER;AC;1
77;1200401;RIO BRANCO;AC;1
78;1200402;RIO BRANCO;AC;1
79;1200435;SANTA ROSA DO PURUS;AC;1
80;1200437;SANTA ROSA DO PURUS;AC;1
81;1200450;SENADOR GUIOMARD;AC;1
82;1200500;SENA MADUREIRA;AC;1
