ID_TEMPO;ANO;DECADA;METODOLOGIA
1;1992;1990;VENDAS+CONSUMO
2;1993;1990;VENDAS+CONSUMO
3;1994;1990;VENDAS+CONSUMO
4;1995;1990;VENDAS+CONSUMO
5;1996;1990;VENDAS+CONSUMO
6;1997;1990;VENDAS+CONSUMO
7;1998;1990;VENDAS+CONSUMO
8;1999;1990;VENDAS+CONSUMO
9;2000;2000;VENDAS+CONSUMO
10;2001;2000;VENDAS+CONSUMO
11;2002;2000;VENDAS+CONSUMO
12;2003;2000;VENDAS+CONSUMO
13;2004;2000;VENDAS+CONSUMO
14;2005;2000;VENDAS+CONSUMO
15;2006;2000;VENDAS+CONSUMO
16;2007;2000;SOMENTE VENDAS
17;2008;2000;SOMENTE VENDAS
18;2009;2000;SOMENTE VENDAS
19;2010;2010;SOMENTE VENDAS
20;2011;2010;SOMENTE VENDAS
21;2012;2010;SOMENTE VENDAS
22;2013;2010;SOMENTE VENDAS
23;2014;2010;SOMENTE VENDAS
24;2015;2010;SOMENTE VENDAS
25;2016;2010;SOMENTE VENDAS
26;2017;2010;SOMENTE VENDAS
27;2018;2010;SOMENTE VENDAS
28;2019;2010;SOMENTE VENDAS
29;2020;2020;SOMENTE VENDAS
30;2021;2020;SOMENTE VENDAS
31;2022;2020;SOMENTE VENDAS
32;2023;2020;SOMENTE VENDAS
33;2024;2020;SOMENTE VENDAS
