ID_UF;UF;ID_REGIAO;GRANDE_REGIAO
1;AC;3;REGIÃO NORTE
2;AL;2;REGIÃO NORDESTE
3;AM;3;REGIÃO NORTE
4;AP;3;REGIÃO NORTE
5;BA;2;REGIÃO NORDESTE
6;CE;2;REGIÃO NORDESTE
7;DF;1;REGIÃO CENTRO-OESTE
8;ES;4;REGIÃO SUDESTE
9;GO;1;REGIÃO CENTRO-OESTE
10;MA;2;REGIÃO NORDESTE
11;MG;4;REGIÃO SUDESTE
12;MS;1;REGIÃO CENTRO-OESTE
13;MT;1;REGIÃO CENTRO-OESTE
14;PA;3;REGIÃO NORTE
15;PB;2;REGIÃO NORDESTE
16;PE;2;REGIÃO NORDESTE
17;PI;2;REGIÃO NORDESTE
18;PR;5;REGIÃO SUL
19;RJ;4;REGIÃO SUDESTE
20;RN;2;REGIÃO NORDESTE
21;RO;3;REGIÃO NORTE
22;RR;3;REGIÃO NORTE
23;RS;5;REGIÃO SUL
24;SC;5;REGIÃO SUL
25;SE;2;REGIÃO NORDESTE
26;SP;4;REGIÃO SUDESTE
27;TO;3;REGIÃO NORTE
28;;4;REGIÃO SUDESTE
29;;5;REGIÃO SUL
30;;6;
31;;2;REGIÃO NORDESTE
