ID_TEMPO;ID_LOCALIDADE;ID_UF;ID_REGIAO;VENDAS_KG
1;4791;26;4;6945764
1;4822;26;4;176549955
1;7030;9;1;13973180
1;24;21;3;1119750
1;2305;5;2;1964585
1;2996;11;4;602400
1;3674;8;4;2097360
1;3728;19;4;1221830
1;3788;19;4;32450384
1;3907;26;4;2162180
1;4010;26;4;1891850
1;4024;26;4;11501115
1;4154;26;4;3864772
1;4211;26;4;2907020
1;4412;26;4;1811010
1;4715;26;4;1292040
1;4789;26;4;2439240
1;4844;26;4;96930
1;4855;26;4;2543860
1;4895;26;4;1876730
1;4897;26;4;4718380
1;6698;13;1;5818900
1;3797;19;4;4713090
1;2601;11;4;100125297
1;2608;11;4;9194755
1;3758;19;4;1254410
1;2835;11;4;86310
1;2999;11;4;2339570
1;3033;11;4;4054130
1;3723;19;4;5466320
1;3895;26;4;554230
1;3959;26;4;94740
1;4295;26;4;135390
1;4320;26;4;31100
1;4521;26;4;4727150
1;4555;26;4;26400
1;4578;26;4;187550
1;4755;26;4;1017770
1;4810;26;4;1302080
1;4813;26;4;2974345
1;5571;18;5;408625
1;6528;12;1;6265050
1;6668;13;1;225480
1;6784;13;1;100380
1;6827;13;1;331685
1;3861;26;4;1489170
1;4091;26;4;574780
1;4106;26;4;6104753
1;4321;26;4;1555210
1;4359;26;4;1580915
1;4420;26;4;284440
1;4582;26;4;911450
1;4586;26;4;53300
1;4866;26;4;2378590
1;7141;9;1;143360
1;122;3;3;20083932
1;2198;5;2;670590
1;2780;11;4;1879895
1;3203;11;4;3500
1;3489;11;4;2473655
1;3668;8;4;2602570
1;3761;19;4;10357350
1;3772;19;4;1165410
1;3829;26;4;1749510
1;3939;26;4;10290588
1;3945;26;4;1821200
1;4213;26;4;5334180
1;4313;26;4;2127005
1;4331;26;4;1805670
1;4341;26;4;1480860
1;4377;26;4;1578605
1;4443;26;4;2630640
1;5056;18;5;101140
1;5083;18;5;4999840
1;5101;18;5;1308675
1;5124;18;5;21174880
1;5650;24;5;5979500
1;5670;24;5;1193500
1;5707;24;5;1186120
1;5965;23;5;894880
1;6024;23;5;19652935
1;6102;23;5;956450
1;6141;23;5;1513550
1;6263;23;5;4508300
1;6270;23;5;980620
1;6290;23;5;6292240
1;6320;23;5;173190
1;6378;23;5;3600
1;175;14;3;501840
1;584;10;2;830990
1;1000;6;2;33915093
1;1378;15;2;1175790
1;1415;15;2;4169720
1;1535;16;2;444680
1;1677;16;2;6718400
1;1796;2;2;5388640
1;3178;11;4;66720
1;4043;26;4;102580
1;4131;26;4;301720
1;4603;26;4;4991620
1;5955;23;5;162220
1;6124;23;5;250040
1;6244;23;5;2242320
1;6925;9;1;1356075
1;614;10;2;1348195
1;6000;23;5;1347725
1;6239;23;5;548070
1;6359;23;5;60250
1;6475;23;5;54440
1;151;22;3;3829958
1;2865;11;4;57320
1;3167;11;4;1398520
1;3545;11;4;405890
1;3679;8;4;1144300
1;3981;26;4;455285
1;4254;26;4;51750
1;4287;26;4;636220
1;4329;26;4;8000
1;4448;26;4;873595
1;4563;26;4;14146980
1;4647;26;4;56540
1;4835;26;4;14200
1;5005;18;5;1852185
1;5403;18;5;105225
1;5467;18;5;3800
1;5533;18;5;1480510
1;5582;18;5;1200
1;5926;24;5;85730
1;6030;23;5;631090
1;6076;23;5;97860
1;6139;23;5;821430
1;6178;23;5;485605
1;6233;23;5;366820
1;6340;23;5;1169590
1;6349;23;5;863860
1;6412;23;5;27520
1;6433;23;5;431150
1;6458;23;5;614690
1;6467;23;5;544130
1;6884;9;1;443690
1;7090;9;1;937790
1;7193;9;1;6600
1;3886;26;4;1533720
1;4794;26;4;900900
1;4326;26;4;751560
1;4704;26;4;2002850
1;4957;26;4;181980
1;4696;26;4;36733420
1;4733;26;4;78810
1;4935;26;4;172670
1;6471;23;5;69170
1;6533;12;1;150590
1;3191;11;4;289670
1;3531;11;4;22719220
1;3684;19;4;5715235
1;3740;19;4;2330190
1;3894;26;4;624840
1;4230;26;4;64730
1;4552;26;4;23830
1;4818;26;4;487390
1;6550;12;1;631540
1;4310;26;4;149040
1;5163;18;5;78690
1;5275;18;5;8668975
1;5777;24;5;2255005
1;2404;5;2;10803400
1;3281;11;4;1084510
1;4727;26;4;285750
1;5159;18;5;516460
1;5411;18;5;20053575
1;5622;24;5;59600
1;2535;11;4;434190
1;3528;11;4;5845235
1;3831;26;4;453355
1;3909;26;4;550150
1;3936;26;4;991140
1;3941;26;4;73150
1;3958;26;4;1265800
1;3993;26;4;116500
1;4057;26;4;362080
1;4234;26;4;25000
1;4356;26;4;114860
1;4380;26;4;349670
1;4531;26;4;55250
1;4670;26;4;193600
1;4995;18;5;8928185
1;5285;18;5;148820
1;5293;18;5;1191685
1;5369;18;5;616720
1;6468;23;5;894510
1;6509;12;1;79180
1;6518;12;1;481200
1;6582;12;1;506130
1;6664;13;1;310160
1;6684;13;1;51760
1;6691;13;1;97230
1;6809;13;1;1585015
1;6961;9;1;419100
1;7037;9;1;347070
1;7199;9;1;50840
1;7214;9;1;854490
1;4914;26;4;186110
1;4973;18;5;333830
1;5065;18;5;684440
1;5584;18;5;1508695
1;5647;24;5;480820
1;5663;24;5;626320
1;5688;24;5;5040480
1;5262;18;5;36870
1;5287;18;5;79490
1;5305;18;5;10011765
1;5460;18;5;800
1;5652;24;5;615440
1;6563;12;1;288010
1;6602;12;1;587295
1;6617;12;1;734740
1;6543;12;1;74030
1;3991;26;4;85563
1;4117;26;4;152220
1;4526;26;4;1142430
1;4543;26;4;276270
1;4650;26;4;40400
1;4681;26;4;3000
1;4981;18;5;10040
1;4991;18;5;66480
1;5004;18;5;124580
1;5011;18;5;96680
1;5018;18;5;152350
1;5052;18;5;40980
1;5053;18;5;540820
1;5057;18;5;41220
1;5070;18;5;537940
1;5081;18;5;103360
1;5094;18;5;149590
1;5108;18;5;3600
1;5136;18;5;128930
1;5170;18;5;258320
1;5188;18;5;39220
1;5193;18;5;328320
1;5198;18;5;15900
1;5213;18;5;134730
1;5229;18;5;20810
1;5233;18;5;711890
1;5239;18;5;179660
1;5246;18;5;76800
1;5250;18;5;56670
1;5255;18;5;82140
1;5270;18;5;249940
1;5280;18;5;50000
1;5298;18;5;231130
1;5328;18;5;224920
1;5359;18;5;6000
1;5373;18;5;66780
1;5383;18;5;1406785
1;5400;18;5;91900
1;5541;18;5;5800
1;5559;18;5;4800
1;5598;18;5;1299720
1;5637;24;5;342880
1;5681;24;5;227570
1;5689;24;5;433930
1;5692;24;5;51920
1;5817;24;5;154715
1;5888;24;5;44890
1;6496;12;1;66680
1;6500;12;1;151480
1;6525;12;1;161280
1;6554;12;1;998980
1;6570;12;1;379965
1;6587;12;1;729570
1;6606;12;1;61940
1;6608;12;1;440600
1;550;10;2;1105840
1;555;10;2;1360460
1;603;10;2;1264720
1;702;10;2;22701700
1;924;17;2;11173640
1;1561;16;2;58330
1;1581;16;2;1436630
1;1620;16;2;2728790
1;1755;2;2;2980110
1;1782;2;2;1018940
1;1807;2;2;1549670
1;1856;25;2;2629490
1;2505;5;2;1930660
1;1830;2;2;292900
1;2130;5;2;3793620
1;2239;5;2;931610
1;591;10;2;96590
1;1082;6;2;392900
1;1110;6;2;363350
1;1556;16;2;1953280
1;765;17;2;50000
1;807;17;2;583540
1;874;17;2;527140
1;942;6;2;102200
1;990;6;2;485560
1;1095;6;2;8800
1;1138;6;2;342870
1;1253;20;2;3866861
1;1256;20;2;5166156
1;1685;16;2;514610
1;1750;2;2;1122890
1;1753;2;2;116300
1;6098;23;5;5553000
1;6116;23;5;2156880
1;6271;23;5;2772600
1;6352;23;5;1735870
1;6388;23;5;56450
1;6288;23;5;2563000
1;6081;23;5;289060
1;182;14;3;2561630
1;350;4;3;2404760
1;268;14;3;2237360
1;996;6;2;600
1;26;21;3;1290953
1;70;1;3;3260850
1;78;1;3;500440
1;201;14;3;6294760
1;298;14;3;294070
1;866;17;2;330090
1;947;6;2;56210
1;1058;6;2;1283460
1;1306;20;2;451100
1;1570;16;2;1198230
1;2951;11;4;790740
1;3267;11;4;2528425
1;3799;19;4;1127750
1;3979;26;4;804260
1;4073;26;4;76410
1;4086;26;4;181950
1;4205;26;4;293850
1;4340;26;4;412840
1;4770;26;4;105750
1;4776;26;4;1514720
1;4859;26;4;2320035
1;5455;18;5;73200
1;5697;24;5;1819070
1;6019;23;5;1180100
1;6108;23;5;1469950
1;7085;9;1;760595
1;7234;9;1;563700
1;7315;7;1;4805703
1;2188;5;2;1420770
1;386;27;3;64470
1;406;27;3;3287830
1;2185;5;2;1539590
1;2424;5;2;3141120
1;3711;19;4;4042710
1;5186;18;5;1318505
1;5947;23;5;41780
1;6003;23;5;2269830
1;6039;23;5;1361545
1;6199;23;5;681235
1;6333;23;5;908040
1;7072;9;1;543420
1;652;10;2;24310
1;1035;6;2;1136270
1;6086;23;5;911070
1;6136;23;5;317070
1;6164;23;5;13150
1;6250;23;5;192790
1;6291;23;5;88060
1;6342;23;5;576870
1;6348;23;5;359950
1;6363;23;5;49230
1;6367;23;5;48970
1;6368;23;5;47690
1;6385;23;5;46510
1;397;27;3;432450
1;987;6;2;1062000
1;1670;16;2;979790
1;1951;5;2;899210
1;2044;5;2;750070
1;2074;5;2;1739460
1;2079;5;2;2483150
1;2086;5;2;1390950
1;2227;5;2;1474090
1;2300;5;2;1883800
1;2448;5;2;1074450
1;2450;5;2;1449930
1;2886;11;4;2609200
1;2962;11;4;206980
1;3060;11;4;389980
1;3593;8;4;2336905
1;3696;19;4;92490
1;3698;19;4;647740
1;3760;19;4;461190
1;3769;19;4;196390
1;3815;19;4;275380
1;3826;19;4;1619300
1;3836;26;4;587715
1;3871;26;4;1276540
1;3873;26;4;45580
1;3904;26;4;604415
1;3911;26;4;325450
1;4051;26;4;176270
1;4069;26;4;130525
1;4100;26;4;130680
1;4103;26;4;150095
1;4134;26;4;44560
1;4139;26;4;275705
1;4191;26;4;64000
1;4235;26;4;275705
1;4244;26;4;8820
1;4289;26;4;537170
1;4292;26;4;112860
1;4299;26;4;23020
1;4373;26;4;900155
1;4374;26;4;201630
1;4441;26;4;366300
1;4445;26;4;126260
1;4567;26;4;341880
1;4581;26;4;755045
1;4612;26;4;451405
1;4615;26;4;57030
1;4641;26;4;155240
1;4694;26;4;671550
1;4709;26;4;60400
1;4731;26;4;55450
1;4742;26;4;242645
1;4750;26;4;96770
1;4751;26;4;179640
1;4759;26;4;159000
1;4808;26;4;191445
1;4828;26;4;43270
1;4858;26;4;1416315
1;4942;26;4;23500
1;4976;18;5;26350
1;5085;18;5;530390
1;5219;18;5;20050
1;5378;18;5;425000
1;5386;18;5;759975
1;5506;18;5;273370
1;5596;18;5;185880
1;5904;24;5;122140
1;5957;23;5;149870
1;6067;23;5;1013670
1;6159;23;5;580030
1;6198;23;5;133760
1;6209;23;5;335340
1;6246;23;5;547070
1;6247;23;5;1130760
1;6329;23;5;458540
1;6382;23;5;1290560
1;6426;23;5;282800
1;6448;23;5;624500
1;6450;23;5;311680
1;6510;12;1;157030
1;3730;19;4;406010
1;3734;19;4;1508240
1;3767;19;4;75660
1;1623;16;2;1926400
1;6721;13;1;4835680
1;3819;19;4;248190
1;4004;26;4;42670
1;6825;13;1;67480
1;2551;11;4;257125
1;2860;11;4;234535
1;2992;11;4;50000
1;3517;11;4;25100
1;3525;11;4;289580
1;3943;26;4;77960
1;4098;26;4;101530
1;4237;26;4;150160
1;4283;26;4;66540
1;6843;13;1;286365
1;4046;26;4;423420
1;4090;26;4;107670
1;4307;26;4;2102340
1;2830;11;4;958255
1;3152;11;4;118260
1;3216;11;4;414970
1;3341;11;4;54710
1;3877;26;4;642230
1;4559;26;4;173620
1;4765;26;4;995560
1;4847;26;4;549160
1;2435;5;2;12134950
1;2824;11;4;279130
1;3584;8;4;71030
1;4438;26;4;130450
1;5665;24;5;227560
1;6142;23;5;40260
1;6336;23;5;1281990
1;5939;23;5;261235
1;3201;11;4;347060
1;3354;11;4;560260
1;3581;8;4;8000
1;3999;26;4;2000
1;4514;26;4;3200
1;4792;26;4;68750
1;5212;18;5;1664090
1;5237;18;5;37370
1;5321;18;5;58880
1;5678;24;5;281490
1;6231;23;5;120420
1;6248;23;5;67290
1;6383;23;5;22840
1;6410;23;5;42080
1;6967;9;1;6000
1;7028;9;1;106000
1;7298;9;1;2390
1;2568;11;4;870920
1;3027;11;4;366890
1;3743;19;4;1499300
1;3866;26;4;22010
1;3218;11;4;515500
1;3937;26;4;190480
1;4302;26;4;158210
1;4510;26;4;126390
1;4540;26;4;49450
1;4674;26;4;168640
1;4735;26;4;107640
1;4979;18;5;71480
1;5008;18;5;59170
1;5489;18;5;126070
1;5773;24;5;1841330
1;6631;12;1;320210
1;6916;9;1;153850
1;7144;9;1;265230
1;7222;9;1;903900
1;5112;18;5;4539980
1;5173;18;5;200
1;5736;24;5;2000
1;6551;12;1;58550
1;4161;26;4;48000
1;4261;26;4;59480
1;4652;26;4;107660
1;4997;18;5;60260
1;5021;18;5;121260
1;5037;18;5;11000
1;5096;18;5;79670
1;5132;18;5;24000
1;5388;18;5;65000
1;5414;18;5;110390
1;5439;18;5;20355
1;5457;18;5;85150
1;5468;18;5;164860
1;5470;18;5;80000
1;5593;18;5;136470
1;5769;24;5;160390
1;5794;24;5;76910
1;6561;12;1;83320
1;6568;12;1;72420
1;6626;12;1;51930
1;687;10;2;243300
1;1488;15;2;1093720
1;1817;2;2;65520
1;570;10;2;25430
1;586;10;2;207360
1;745;17;2;93490
1;1155;20;2;4800
1;1296;20;2;204360
1;1997;5;2;2173810
1;676;10;2;134660
1;365;27;3;28470
1;1450;15;2;28900
1;1476;15;2;170090
1;2289;5;2;551180
1;2776;11;4;148760
1;3947;26;4;200120
1;4293;26;4;37940
1;6345;23;5;837450
1;4949;26;4;377235
1;6129;23;5;804950
1;6372;23;5;42100
1;1130;6;2;1804040
1;132;3;3;28500
1;948;6;2;219790
1;950;6;2;1213680
1;988;6;2;681260
1;1022;6;2;561370
1;1052;6;2;377680
1;1074;6;2;41010
1;1141;6;2;453350
1;1593;16;2;557100
1;1604;16;2;959380
1;1682;16;2;142030
1;3025;11;4;308790
1;3137;11;4;620500
1;3214;11;4;860220
1;3253;11;4;352720
1;3256;11;4;498670
1;3375;11;4;204500
1;3556;11;4;98560
1;3780;19;4;172760
1;3882;26;4;9330
1;3887;26;4;120690
1;4001;26;4;320360
1;4026;26;4;78800
1;4055;26;4;63450
1;4064;26;4;64710
1;4075;26;4;129540
1;4344;26;4;83330
1;4347;26;4;60450
1;4404;26;4;152820
1;4419;26;4;277840
1;4504;26;4;86020
1;4607;26;4;31010
1;4798;26;4;297370
1;4852;26;4;22970
1;4909;26;4;209510
1;6050;23;5;697730
1;6131;23;5;32080
1;6156;23;5;174740
1;6216;23;5;616540
1;6254;23;5;132500
1;6463;23;5;413900
1;6585;12;1;75470
1;7129;9;1;240610
1;3690;19;4;4000
1;3706;19;4;3850
1;1608;16;2;1106900
1;2518;11;4;101100
1;3089;11;4;3000
1;3142;11;4;190020
1;3516;11;4;151355
1;4449;26;4;25480
1;4900;26;4;49010
1;7005;9;1;46210
1;4390;26;4;41490
1;5633;24;5;940520
1;6279;23;5;400
1;115;3;3;26550
1;4706;26;4;44180
1;4829;26;4;9800
1;4958;26;4;502155
1;6307;23;5;54630
1;2525;11;4;99360
1;3680;8;4;739470
1;4382;26;4;8400
1;4479;26;4;6000
1;4903;26;4;11000
1;5915;24;5;1318650
1;5981;23;5;56955
1;6229;23;5;26220
1;6402;23;5;12740
1;7205;9;1;127740
1;7224;9;1;120040
1;7230;9;1;1990
1;7289;9;1;45600
1;4779;26;4;200
1;4654;26;4;314370
1;4259;26;4;45130
1;2618;11;4;821115
1;3596;8;4;23650
1;3686;19;4;1053880
1;6556;12;1;313670
1;6672;13;1;232930
1;3917;26;4;72260
1;4149;26;4;62810
1;4588;26;4;26340
1;4999;18;5;76020
1;5174;18;5;137640
1;6623;12;1;214250
1;6813;13;1;54880
1;6942;9;1;229590
1;7118;9;1;51000
1;5573;18;5;2500
1;5601;18;5;24550
1;6583;12;1;513370
1;552;10;2;231800
1;2122;5;2;631860
1;1442;15;2;557770
1;1180;20;2;224300
1;1459;15;2;53350
1;1800;2;2;146860
1;6877;9;1;65990
1;7018;9;1;627830
1;7091;9;1;261350
1;7103;9;1;299590
1;7277;9;1;41810
1;1843;2;2;1123490
1;2258;5;2;1176570
1;2461;5;2;1120430
1;5852;24;5;885040
1;1839;2;2;677040
1;2123;5;2;396850
1;5875;24;5;21290
1;7004;9;1;627560
1;2026;5;2;890610
1;6310;23;5;53790
1;1566;16;2;554720
1;1867;25;2;159390
1;2210;5;2;413970
1;2237;5;2;1128650
1;2413;5;2;254100
1;2771;11;4;442880
1;2902;11;4;268390
1;3842;26;4;24670
1;3898;26;4;46300
1;4169;26;4;11460
1;4388;26;4;68940
1;4590;26;4;216470
1;4591;26;4;160650
1;6044;23;5;115310
1;6188;23;5;105450
1;6330;23;5;184160
1;7200;9;1;91700
1;3750;19;4;3400
1;3803;19;4;3000
1;3084;11;4;583580
1;3533;11;4;145340
1;4115;26;4;26090
1;6536;12;1;55630
1;4257;26;4;71920
1;4494;26;4;113770
1;4915;26;4;193680
1;1284;20;2;126140
1;4163;26;4;22400
1;3955;26;4;26000
1;4009;26;4;26350
1;4048;26;4;48650
1;4095;26;4;21530
1;4346;26;4;3474040
1;4562;26;4;26600
1;5520;18;5;130700
1;5728;24;5;50730
1;5932;24;5;25600
1;6624;12;1;62190
1;5778;24;5;6000
1;4062;26;4;151295
1;4523;26;4;94240
1;5026;18;5;4950
1;5104;18;5;38260
1;5117;18;5;47180
1;5339;18;5;6200
1;5445;18;5;93050
1;5523;18;5;20000
1;5862;24;5;200160
1;5900;24;5;128170
1;1048;6;2;38700
1;957;6;2;52360
1;3687;19;4;170760
1;4074;26;4;138010
1;4502;26;4;144760
1;4816;26;4;67440
1;1123;6;2;3025670
1;1113;6;2;81300
1;1712;16;2;234720
1;2679;11;4;676000
1;2912;11;4;81000
1;2958;11;4;116230
1;3324;11;4;116920
1;4014;26;4;67110
1;4077;26;4;115445
1;4677;26;4;28510
1;5368;18;5;183210
1;6013;23;5;435660
1;6133;23;5;10860
1;6409;23;5;40110
1;6597;12;1;77560
1;2734;11;4;4100
1;3613;8;4;631240
1;3756;19;4;6000
1;3782;19;4;1600
1;18;21;3;129370
1;4659;26;4;132750
1;2817;11;4;42630
1;3048;11;4;53460
1;4434;26;4;183100
1;5624;24;5;1911360
1;4;21;3;250590
1;3875;26;4;26000
1;4017;26;4;46340
1;6661;13;1;22130
1;6831;13;1;393070
1;6912;9;1;188920
1;231;14;3;2234940
1;5701;24;5;1909070
1;5808;24;5;134940
1;5072;18;5;200
1;5930;24;5;1384840
1;6613;12;1;145300
1;6620;12;1;400
1;6690;13;1;854030
1;4538;26;4;26580
1;5012;18;5;120530
1;5152;18;5;20000
1;5190;18;5;6000
1;5376;18;5;25320
1;5710;24;5;135830
1;5758;24;5;115230
1;1089;6;2;4400
1;1238;20;2;221710
1;2243;5;2;126370
1;7250;9;1;800
1;332;14;3;349250
1;1165;20;2;44480
1;840;17;2;1014610
1;2667;11;4;416130
1;4806;26;4;68610
1;5693;24;5;452180
1;6079;23;5;213610
1;6109;23;5;373410
1;6428;23;5;162490
1;295;14;3;51520
1;6301;23;5;13350
1;6358;23;5;12850
1;815;17;2;6000
1;2480;5;2;617050
1;2593;11;4;58807
1;3075;11;4;75320
1;4111;26;4;79530
1;4367;26;4;124870
1;4593;26;4;37240
1;4804;26;4;23620
1;5657;24;5;47840
1;6042;23;5;40110
1;6844;13;1;386720
1;6;21;3;130820
1;31;21;3;382410
1;4946;26;4;182785
1;4885;26;4;47760
1;4040;26;4;348190
1;6779;13;1;488370
1;23;21;3;26000
1;2698;11;4;148200
1;3952;26;4;23400
1;4417;26;4;48600
1;4565;26;4;20000
1;5029;18;5;69400
1;5257;18;5;112890
1;6744;13;1;176110
1;6770;13;1;317000
1;6789;13;1;1617845
1;4626;26;4;7680
1;5299;18;5;600
1;5060;18;5;600
1;5090;18;5;40000
1;5113;18;5;12260
1;5126;18;5;4200
1;5184;18;5;1000
1;5426;18;5;14060
1;5558;18;5;23700
1;5604;18;5;24000
1;5790;24;5;877260
1;6502;12;1;149830
1;6566;12;1;26000
1;1826;2;2;95210
1;1059;6;2;1500
1;1260;20;2;58640
1;1276;20;2;56350
1;2401;5;2;24970
1;6984;9;1;96400
1;315;14;3;2052980
1;3514;11;4;84800
1;3990;26;4;58680
1;4394;26;4;300
1;411;27;3;11545010
1;3094;11;4;126510
1;6119;23;5;119850
1;6421;23;5;684290
1;5998;23;5;25230
1;1729;16;2;53200
1;2423;5;2;101800
1;3752;19;4;185490
1;3825;19;4;227210
1;4166;26;4;26520
1;4188;26;4;22480
1;4369;26;4;7030
1;4389;26;4;22640
1;4467;26;4;131320
1;6122;23;5;132660
1;3066;11;4;2000
1;1515;16;2;5000
1;1786;2;2;235540
1;2059;5;2;169880
1;1859;25;2;103190
1;2108;5;2;105210
1;2368;5;2;1147910
1;2507;5;2;25110
1;2147;5;2;57260
1;6888;9;1;669565
1;6787;13;1;50000
1;4454;26;4;2000
1;4598;26;4;24390
1;4702;26;4;75820
1;4736;26;4;23820
1;4891;26;4;24210
1;2894;11;4;73250
1;5073;18;5;315000
1;2172;5;2;618630
1;4408;26;4;58470
1;4834;26;4;66490
1;4905;26;4;23000
1;5195;18;5;20000
1;5491;18;5;29420
1;6645;13;1;139340
1;6648;13;1;49600
1;4184;26;4;65000
1;5097;18;5;1000
1;5106;18;5;3000
1;5325;18;5;200
1;5498;18;5;107090
1;5735;24;5;25760
1;6534;12;1;54725
1;6572;12;1;392070
1;1709;16;2;800
1;595;10;2;60890
1;233;14;3;381530
1;634;10;2;830380
1;793;17;2;463000
1;916;17;2;246330
1;3013;11;4;132710
1;2663;11;4;139235
1;3413;11;4;61080
1;6090;23;5;194680
1;3336;11;4;250000
1;3714;19;4;43580
1;3789;19;4;62940
1;3795;19;4;45650
1;3806;19;4;44070
1;4534;26;4;57880
1;4661;26;4;81600
1;6594;12;1;41360
1;7034;9;1;99010
1;3603;8;4;2000
1;2060;5;2;918870
1;2209;5;2;628500
1;2364;5;2;345690
1;2492;5;2;3250480
1;2039;5;2;548700
1;1875;25;2;54400
1;2317;5;2;750
1;3109;11;4;9530
1;4194;26;4;120530
1;6671;13;1;41680
1;4034;26;4;420800
1;4878;26;4;164360
1;5834;24;5;92510
1;2614;11;4;111790
1;2659;11;4;50790
1;2990;11;4;23160
1;3006;11;4;89330
1;5943;23;5;52390
1;6906;9;1;44510
1;6460;23;5;21920
1;2592;11;4;400
1;2793;11;4;45020
1;2935;11;4;30020
1;3229;11;4;15000
1;4349;26;4;42840
1;4547;26;4;400
1;5846;24;5;18670
1;5913;24;5;27430
1;5994;23;5;12580
1;6037;23;5;14780
1;6100;23;5;4400
1;6154;23;5;25240
1;6455;23;5;16250
1;6896;9;1;18200
1;6914;9;1;30500
1;7040;9;1;26070
1;7063;9;1;108250
1;7142;9;1;1380
1;7177;9;1;45110
1;7245;9;1;18000
1;2812;11;4;36810
1;4008;26;4;44450
1;4396;26;4;29000
1;6647;13;1;24990
1;6778;13;1;42000
1;7060;9;1;49600
1;7117;9;1;161900
1;7203;9;1;25000
1;4871;26;4;20000
1;4937;26;4;47410
1;4970;18;5;69035
1;5143;18;5;5080
1;5282;18;5;48250
1;5436;18;5;20860
1;5545;18;5;67240
1;5556;18;5;400
1;1375;15;2;1498090
1;1055;6;2;122340
1;1063;6;2;16390
1;1064;6;2;1000
1;1133;6;2;400
1;1209;20;2;9500
1;1767;2;2;30490
1;2050;5;2;1000
1;16;21;3;221330
1;6065;23;5;85450
1;6222;23;5;97310
1;6366;23;5;244590
1;2652;11;4;36200
1;3147;11;4;4900
1;3843;26;4;15620
1;3868;26;4;29260
1;3914;26;4;940
1;4682;26;4;48780
1;6078;23;5;10980
1;6220;23;5;387990
1;6314;23;5;43350
1;2530;11;4;42050
1;6634;13;1;90515
1;2573;11;4;65750
1;3221;11;4;1408545
1;5714;24;5;166450
1;3083;11;4;1437218
1;3158;11;4;21850
1;7107;9;1;18000
1;3001;11;4;1000
1;3928;26;4;23000
1;4148;26;4;8000
1;4336;26;4;4840
1;6058;23;5;115170
1;6072;23;5;10850
1;7275;9;1;17160
1;2907;11;4;24240
1;3118;11;4;369000
1;4305;26;4;93310
1;13;21;3;310005
1;5538;18;5;79190
1;6504;12;1;19210
1;6839;13;1;23500
1;6939;9;1;25500
1;7269;9;1;94600
1;5896;24;5;138190
1;6430;23;5;25070
1;4985;18;5;20470
1;5147;18;5;4000
1;5153;18;5;2200
1;5249;18;5;4720
1;5311;18;5;400
1;5342;18;5;3600
1;5513;18;5;4000
1;5526;18;5;150490
1;5563;18;5;17160
1;5676;24;5;33590
1;6514;12;1;109280
1;6680;13;1;80290
1;2453;5;2;43070
1;1870;25;2;263220
1;181;14;3;521660
1;1029;6;2;958010
1;2683;11;4;187890
1;6447;23;5;365650
1;1007;6;2;15070
1;1541;16;2;24890
1;2543;11;4;50940
1;2545;11;4;99970
1;2687;11;4;151900
1;3144;11;4;68590
1;3599;8;4;37850
1;3931;26;4;5580
1;4125;26;4;13610
1;5158;18;5;40350
1;6473;23;5;72310
1;6643;13;1;26170
1;3821;19;4;7000
1;3717;19;4;1200
1;1803;2;2;626490
1;2291;5;2;86840
1;1589;16;2;438080
1;2349;5;2;265450
1;1653;16;2;47570
1;1763;2;2;6000
1;1873;25;2;264070
1;1889;25;2;203940
1;2032;5;2;2500
1;3129;11;4;12030
1;2921;11;4;26610
1;6640;13;1;24800
1;5432;18;5;50600
1;2571;11;4;3600
1;4045;26;4;33210
1;4881;26;4;5400
1;7076;9;1;13940
1;6006;23;5;195
1;3838;26;4;1000
1;4028;26;4;36000
1;4210;26;4;5000
1;4363;26;4;4000
1;4600;26;4;200
1;4621;26;4;3910
1;6539;12;1;659520
1;2975;11;4;17840
1;6723;13;1;46000
1;4888;26;4;43000
1;6703;13;1;82770
1;5120;18;5;25130
1;5241;18;5;20170
1;5295;18;5;3910
1;5425;18;5;41210
1;6558;12;1;135000
1;1372;15;2;286970
1;1660;16;2;20140
1;1666;16;2;201570
1;1202;20;2;17600
1;1719;16;2;518210
1;538;10;2;75480
1;607;10;2;24510
1;3186;11;4;52480
1;4279;26;4;41280
1;7097;9;1;13660
1;1731;16;2;266540
1;2371;5;2;676665
1;1602;16;2;159280
1;1637;16;2;63470
1;1698;16;2;469340
1;1864;25;2;122610
1;1877;25;2;18700
1;2139;5;2;13900
1;2222;5;2;300
1;3662;8;4;232200
1;6762;13;1;69680
1;7013;9;1;23450
1;7226;9;1;24000
1;4622;26;4;5500
1;4908;26;4;11860
1;4920;26;4;23080
1;6521;12;1;26730
1;2730;11;4;50630
1;4070;26;4;23470
