ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
1992;REGIÃO SUDESTE;SP;ASFALTO;3548708;SAO BERNARDO DO CAMPO         ;6945764
1992;REGIÃO SUDESTE;SP;ASFALTO;3550303;SAO PAULO                     ;176549955
1992;REGIÃO CENTRO-OESTE;GO;ASFALTO;5208700;GOIANIA                       ;13973180
1992;REGIÃO NORTE;RO;ASFALTO;1100181;PIMENTA BUENO                 ;1119750
1992;REGIÃO NORDESTE;BA;ASFALTO;2922002;MUCURI                        ;1964585
1992;REGIÃO SUDESTE;MG;ASFALTO;3134202;ITUIUTABA                     ;602400
1992;REGIÃO SUDESTE;ES;ASFALTO;3205100;VIANA                         ;2097360
1992;REGIÃO SUDESTE;RJ;ASFALTO;3301907;ITABORAI                      ;1221830
1992;REGIÃO SUDESTE;RJ;ASFALTO;3304558;RIO DE JANEIRO                ;32450384
1992;REGIÃO SUDESTE;SP;ASFALTO;3503909;ARUJA                         ;2162180
1992;REGIÃO SUDESTE;SP;ASFALTO;3509001;CAIEIRAS                      ;1891850
1992;REGIÃO SUDESTE;SP;ASFALTO;3509508;CAMPINAS                      ;11501115
1992;REGIÃO SUDESTE;SP;ASFALTO;3515702;FERRAZ DE VASCONCELOS         ;3864772
1992;REGIÃO SUDESTE;SP;ASFALTO;3518701;GUARUJA                       ;2907020
1992;REGIÃO SUDESTE;SP;ASFALTO;3529002;MARILIA                       ;1811010
1992;REGIÃO SUDESTE;SP;ASFALTO;3544303;ROSEIRA                       ;1292040
1992;REGIÃO SUDESTE;SP;ASFALTO;3548503;SANTOS                        ;2439240
1992;REGIÃO SUDESTE;SP;ASFALTO;3551601;SERRA NEGRA                   ;96930
1992;REGIÃO SUDESTE;SP;ASFALTO;3552209;SOROCABA                      ;2543860
1992;REGIÃO SUDESTE;SP;ASFALTO;3554007;TATUI                         ;1876730
1992;REGIÃO SUDESTE;SP;ASFALTO;3554104;TAUBATE                       ;4718380
1992;REGIÃO CENTRO-OESTE;MT;ASFALTO;5103401;CUIABA                        ;5818900
1992;REGIÃO SUDESTE;RJ;ASFALTO;3304906;SAO GONCALO                   ;4713090
1992;REGIÃO SUDESTE;MG;ASFALTO;3106209;BELO HORIZONTE                ;100125297
1992;REGIÃO SUDESTE;MG;ASFALTO;3106705;BETIM                         ;9194755
1992;REGIÃO SUDESTE;RJ;ASFALTO;3303306;NITEROI                       ;1254410
1992;REGIÃO SUDESTE;MG;ASFALTO;3123200;DORES DO INDAIA               ;86310
1992;REGIÃO SUDESTE;MG;ASFALTO;3134407;ITURAMA                       ;2339570
1992;REGIÃO SUDESTE;MG;ASFALTO;3136701;JUIZ DE FORA                  ;4054130
1992;REGIÃO SUDESTE;RJ;ASFALTO;3301702;DUQUE DE CAXIAS               ;5466320
1992;REGIÃO SUDESTE;SP;ASFALTO;3503305;ARARAS                        ;554230
1992;REGIÃO SUDESTE;SP;ASFALTO;3506606;BIRITIBA-MIRIM                ;94740
1992;REGIÃO SUDESTE;SP;ASFALTO;3522601;ITAPIRA                       ;135390
1992;REGIÃO SUDESTE;SP;ASFALTO;3523802;ITOBI                         ;31100
1992;REGIÃO SUDESTE;SP;ASFALTO;3534405;OSASCO                        ;4727150
1992;REGIÃO SUDESTE;SP;ASFALTO;3536203;PARIQUERA-ACU                 ;26400
1992;REGIÃO SUDESTE;SP;ASFALTO;3537200;PEDRO DE TOLEDO               ;187550
1992;REGIÃO SUDESTE;SP;ASFALTO;3546608;SANTA FE DO SUL               ;1017770
1992;REGIÃO SUDESTE;SP;ASFALTO;3549801;SAO JOSE DO RIO PRETO         ;1302080
1992;REGIÃO SUDESTE;SP;ASFALTO;3549909;SAO JOSE DOS CAMPOS           ;2974345
1992;REGIÃO SUL;PR;ASFALTO;4127102;TELEMACO BORBA                ;408625
1992;REGIÃO CENTRO-OESTE;MS;ASFALTO;5002702;CAMPO GRANDE                  ;6265050
1992;REGIÃO CENTRO-OESTE;MT;ASFALTO;5102502;CACERES                       ;225480
1992;REGIÃO CENTRO-OESTE;MT;ASFALTO;5106800;PORTO DOS GAUCHOS             ;100380
1992;REGIÃO CENTRO-OESTE;MT;ASFALTO;5107911;SORRISO                       ;331685
1992;REGIÃO SUDESTE;SP;ASFALTO;3501604;AMERICANA                     ;1489170
1992;REGIÃO SUDESTE;SP;ASFALTO;3513106;CRAVINHOS                     ;574780
1992;REGIÃO SUDESTE;SP;ASFALTO;3513807;DIADEMA                       ;6104753
1992;REGIÃO SUDESTE;SP;ASFALTO;3523900;ITU                           ;1555210
1992;REGIÃO SUDESTE;SP;ASFALTO;3525902;JUNDIAI                       ;1580915
1992;REGIÃO SUDESTE;SP;ASFALTO;3529401;MAUA                          ;284440
1992;REGIÃO SUDESTE;SP;ASFALTO;3537404;PEREIRA BARRETO               ;911450
1992;REGIÃO SUDESTE;SP;ASFALTO;3537609;PERUIBE                       ;53300
1992;REGIÃO SUDESTE;SP;ASFALTO;3552802;TABOAO DA SERRA               ;2378590
1992;REGIÃO CENTRO-OESTE;GO;ASFALTO;5214408;NAZARIO                       ;143360
1992;REGIÃO NORTE;AM;ASFALTO;1302604;MANAUS                        ;20083932
1992;REGIÃO NORDESTE;BA;ASFALTO;2915600;ITAMARAJU                     ;670590
1992;REGIÃO SUDESTE;MG;ASFALTO;3118606;CONTAGEM                      ;1879895
1992;REGIÃO SUDESTE;MG;ASFALTO;3147100;PARA DE MINAS                 ;3500
1992;REGIÃO SUDESTE;MG;ASFALTO;3167208;SETE LAGOAS                   ;2473655
1992;REGIÃO SUDESTE;ES;ASFALTO;3205002;SERRA                         ;2602570
1992;REGIÃO SUDESTE;RJ;ASFALTO;3303500;NOVA IGUACU                   ;10357350
1992;REGIÃO SUDESTE;RJ;ASFALTO;3304000;PIRAI                         ;1165410
1992;REGIÃO SUDESTE;SP;ASFALTO;3500004;*;1749510
1992;REGIÃO SUDESTE;SP;ASFALTO;3505707;BARUERI                       ;10290588
1992;REGIÃO SUDESTE;SP;ASFALTO;3506002;BAURU                         ;1821200
1992;REGIÃO SUDESTE;SP;ASFALTO;3518809;GUARULHOS                     ;5334180
1992;REGIÃO SUDESTE;SP;ASFALTO;3523403;ITATIBA                       ;2127005
1992;REGIÃO SUDESTE;SP;ASFALTO;3524400;JACAREI                       ;1805670
1992;REGIÃO SUDESTE;SP;ASFALTO;3524906;JAMBEIRO                      ;1480860
1992;REGIÃO SUDESTE;SP;ASFALTO;3526909;LIMEIRA                       ;1578605
1992;REGIÃO SUDESTE;SP;ASFALTO;3530604;MOJI DAS CRUZES               ;2630640
1992;REGIÃO SUL;PR;ASFALTO;4103807;CAMBIRA                       ;101140
1992;REGIÃO SUL;PR;ASFALTO;4104803;CASCAVEL                      ;4999840
1992;REGIÃO SUL;PR;ASFALTO;4105800;COLOMBO                       ;1308675
1992;REGIÃO SUL;PR;ASFALTO;4106903;CURITIBA                      ;21174880
1992;REGIÃO SUL;SC;ASFALTO;4202309;BIGUACU                       ;5979500
1992;REGIÃO SUL;SC;ASFALTO;4203208;CAMBORIU                      ;1193500
